LambLife starting: 30x30 grid, seed=1, ticks=200
tick=1 pop=311 res=52 empty=537 births=26 deaths_e=8 deaths_a=0 interactions=124 consumed=42 novel=158 inj=4/4 blocked=0 dE=4923.6 energy=59.2/247.9 size=20.1/498 age=1.0/1 gen=1
tick=2 pop=587 res=39 empty=274 births=84 deaths_e=40 deaths_a=0 interactions=305 consumed=16 novel=232 inj=3/4 blocked=1 dE=12800.2 energy=53.2/1757.1 size=31.4/498 age=1.5/2 gen=2
tick=3 pop=732 res=21 empty=147 births=53 deaths_e=88 deaths_a=0 interactions=586 consumed=19 novel=180 inj=1/4 blocked=3 dE=17747.5 energy=66.9/1519.5 size=22.6/500 age=2.0/3 gen=3
tick=4 pop=793 res=10 empty=97 births=29 deaths_e=93 deaths_a=0 interactions=732 consumed=11 novel=125 inj=0/4 blocked=4 dE=19957.0 energy=86.9/1509.2 size=27.0/500 age=2.7/4 gen=3
tick=5 pop=795 res=6 empty=99 births=18 deaths_e=98 deaths_a=0 interactions=793 consumed=4 novel=82 inj=0/4 blocked=4 dE=19932.3 energy=111.8/2016.1 size=24.9/500 age=3.5/5 gen=3
tick=6 pop=838 res=4 empty=58 births=24 deaths_e=58 deaths_a=0 interactions=795 consumed=2 novel=77 inj=0/4 blocked=4 dE=29948.8 energy=141.8/2773.8 size=27.1/500 age=4.2/6 gen=3
tick=7 pop=848 res=1 empty=51 births=16 deaths_e=51 deaths_a=0 interactions=838 consumed=3 novel=45 inj=0/4 blocked=4 dE=29045.1 energy=174.4/4514.9 size=23.7/499 age=5.1/7 gen=3
tick=8 pop=875 res=1 empty=24 births=10 deaths_e=24 deaths_a=0 interactions=848 consumed=0 novel=41 inj=0/4 blocked=4 dE=30014.8 energy=203.3/4273.0 size=22.8/499 age=5.8/8 gen=3
tick=9 pop=882 res=0 empty=18 births=6 deaths_e=18 deaths_a=0 interactions=875 consumed=1 novel=19 inj=0/4 blocked=4 dE=34778.6 energy=241.1/4031.1 size=21.6/499 age=6.7/9 gen=3
tick=10 pop=886 res=0 empty=14 births=4 deaths_e=14 deaths_a=0 interactions=882 consumed=0 novel=14 inj=0/4 blocked=4 dE=33467.4 energy=277.8/5773.2 size=21.9/498 age=7.7/10 gen=3
tick=11 pop=887 res=0 empty=13 births=4 deaths_e=13 deaths_a=0 interactions=886 consumed=0 novel=10 inj=0/4 blocked=4 dE=33501.2 energy=315.2/5530.3 size=21.5/498 age=8.6/11 gen=3
tick=12 pop=893 res=0 empty=7 births=2 deaths_e=7 deaths_a=0 interactions=887 consumed=0 novel=11 inj=0/4 blocked=4 dE=38309.2 energy=356.0/7272.4 size=22.4/498 age=9.5/12 gen=3
tick=13 pop=891 res=0 empty=9 births=1 deaths_e=9 deaths_a=0 interactions=893 consumed=1 novel=6 inj=1/4 blocked=3 dE=34632.6 energy=395.7/7031.5 size=23.2/498 age=10.5/13 gen=3
tick=14 pop=890 res=0 empty=10 births=3 deaths_e=10 deaths_a=0 interactions=891 consumed=0 novel=6 inj=0/4 blocked=4 dE=30331.3 energy=430.2/6789.6 size=23.7/498 age=11.5/14 gen=3
tick=15 pop=891 res=0 empty=9 births=2 deaths_e=9 deaths_a=0 interactions=890 consumed=1 novel=8 inj=1/4 blocked=3 dE=42610.5 energy=477.6/8530.7 size=23.1/498 age=12.4/15 gen=4
tick=16 pop=894 res=0 empty=6 births=0 deaths_e=6 deaths_a=0 interactions=891 consumed=0 novel=9 inj=0/4 blocked=4 dE=37676.2 energy=518.1/8291.1 size=22.9/498 age=13.3/16 gen=4
tick=17 pop=894 res=0 empty=6 births=1 deaths_e=6 deaths_a=0 interactions=894 consumed=0 novel=5 inj=0/4 blocked=4 dE=33091.9 energy=555.1/8050.2 size=23.6/498 age=14.3/17 gen=4
tick=18 pop=895 res=0 empty=5 births=1 deaths_e=5 deaths_a=0 interactions=894 consumed=0 novel=5 inj=0/4 blocked=4 dE=42317.6 energy=601.8/8577.8 size=22.5/498 age=15.2/18 gen=3
tick=19 pop=895 res=0 empty=5 births=0 deaths_e=5 deaths_a=0 interactions=895 consumed=1 novel=5 inj=1/4 blocked=3 dE=32152.2 energy=637.7/9292.0 size=22.4/499 age=16.2/19 gen=3
tick=20 pop=896 res=0 empty=4 births=0 deaths_e=4 deaths_a=0 interactions=895 consumed=0 novel=5 inj=0/4 blocked=4 dE=35687.8 energy=676.8/10005.2 size=22.3/498 age=17.2/20 gen=3
tick=21 pop=894 res=0 empty=6 births=1 deaths_e=6 deaths_a=0 interactions=896 consumed=0 novel=3 inj=0/4 blocked=4 dE=37936.6 energy=720.8/9769.4 size=22.2/498 age=18.2/21 gen=3
tick=22 pop=897 res=0 empty=3 births=2 deaths_e=3 deaths_a=0 interactions=894 consumed=0 novel=4 inj=0/4 blocked=4 dE=36467.9 energy=759.0/9998.3 size=22.5/498 age=19.1/22 gen=3
tick=23 pop=899 res=0 empty=1 births=1 deaths_e=1 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=39598.1 energy=801.4/10249.8 size=22.5/498 age=20.1/23 gen=3
tick=24 pop=894 res=0 empty=6 births=0 deaths_e=6 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=42391.0 energy=853.3/10961.0 size=22.7/498 age=21.1/24 gen=3
