tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
1,311,52,537,59.24,247.90,20.10,498,1.00,1,26,8,0,124,42,158,0,1,4,4,0,26,158,8,0,42,124,4923.60
2,587,39,274,53.19,1757.10,31.40,498,1.47,2,84,40,0,305,16,232,0,2,4,3,1,110,390,48,0,58,429,12800.25
3,732,21,147,66.90,1519.50,22.64,500,2.04,3,53,88,0,586,19,180,0,3,4,1,3,163,570,136,0,77,1015,17747.48
4,793,10,97,86.92,1509.20,26.97,500,2.71,4,29,93,0,732,11,125,0,3,4,0,4,192,695,229,0,88,1747,19957.00
5,795,6,99,111.77,2016.10,24.94,500,3.52,5,18,98,0,793,4,82,0,3,4,0,4,210,777,327,0,92,2540,19932.29
6,838,4,58,141.78,2773.80,27.07,500,4.22,6,24,58,0,795,2,77,0,3,4,0,4,234,854,385,0,94,3335,29948.78
7,848,1,51,174.36,4514.90,23.69,499,5.05,7,16,51,0,838,3,45,0,3,4,0,4,250,899,436,0,97,4173,29045.06
8,875,1,24,203.28,4273.00,22.84,499,5.83,8,10,24,0,848,0,41,0,3,4,0,4,260,940,460,0,97,5021,30014.79
9,882,0,18,241.10,4031.10,21.63,499,6.73,9,6,18,0,875,1,19,0,3,4,0,4,266,959,478,0,98,5896,34778.60
10,886,0,14,277.78,5773.20,21.93,498,7.66,10,4,14,0,882,0,14,0,3,4,0,4,270,973,492,0,98,6778,33467.35
11,887,0,13,315.24,5530.30,21.50,498,8.60,11,4,13,0,886,0,10,0,3,4,0,4,274,983,505,0,98,7664,33501.22
12,893,0,7,356.02,7272.40,22.44,498,9.52,12,2,7,0,887,0,11,0,3,4,0,4,276,994,512,0,98,8551,38309.25
13,891,0,9,395.69,7031.50,23.21,498,10.50,13,1,9,0,893,1,6,0,3,4,1,3,277,1000,521,0,99,9444,34632.55
14,890,0,10,430.21,6789.60,23.72,498,11.46,14,3,10,0,891,0,6,0,3,4,0,4,280,1006,531,0,99,10335,30331.30
15,891,0,9,477.55,8530.70,23.14,498,12.40,15,2,9,0,890,1,8,0,4,4,1,3,282,1014,540,0,100,11225,42610.45
16,894,0,6,518.09,8291.10,22.92,498,13.31,16,0,6,0,891,0,9,0,4,4,0,4,282,1023,546,0,100,12116,37676.20
17,894,0,6,555.11,8050.20,23.61,498,14.26,17,1,6,0,894,0,5,0,4,4,0,4,283,1028,552,0,100,13010,33091.90
18,895,0,5,601.77,8577.80,22.54,498,15.23,18,1,5,0,894,0,5,0,3,4,0,4,284,1033,557,0,100,13904,42317.58
19,895,0,5,637.70,9292.00,22.43,499,16.21,19,0,5,0,895,1,5,0,3,4,1,3,284,1038,562,0,101,14799,32152.20
