LambLife starting: 30x30 grid, seed=1, ticks=200
tick=1 pop=97 res=73 empty=730 births=5 deaths_e=3 deaths_a=0 interactions=33 consumed=21 novel=50 inj=4/4 blocked=0 dE=1157.3 energy=58.3/170.2 size=14.6/487 age=1.0/1 gen=1
tick=2 pop=208 res=67 empty=625 births=39 deaths_e=12 deaths_a=0 interactions=89 consumed=9 novel=84 inj=3/4 blocked=1 dE=2386.5 energy=38.7/217.9 size=29.0/495 age=1.4/2 gen=2
tick=3 pop=363 res=60 empty=477 births=36 deaths_e=36 deaths_a=0 interactions=201 consumed=10 novel=155 inj=3/4 blocked=1 dE=5590.0 energy=37.6/1023.3 size=29.1/496 age=1.7/3 gen=3
tick=4 pop=539 res=46 empty=315 births=60 deaths_e=60 deaths_a=0 interactions=361 consumed=16 novel=176 inj=2/4 blocked=2 dE=10771.7 energy=45.3/1068.0 size=34.8/500 age=2.0/4 gen=4
tick=5 pop=660 res=28 empty=212 births=45 deaths_e=98 deaths_a=0 interactions=538 consumed=19 novel=174 inj=1/4 blocked=3 dE=14541.7 energy=59.0/1077.7 size=37.9/496 age=2.5/5 gen=4
tick=6 pop=745 res=13 empty=142 births=40 deaths_e=109 deaths_a=0 interactions=660 consumed=15 novel=154 inj=0/4 blocked=4 dE=15221.4 energy=72.7/1156.2 size=42.2/499 age=3.0/6 gen=4
tick=7 pop=760 res=7 empty=133 births=21 deaths_e=126 deaths_a=0 interactions=745 consumed=6 novel=120 inj=0/4 blocked=4 dE=22090.0 energy=100.3/1564.3 size=40.1/499 age=3.8/7 gen=5
tick=8 pop=794 res=2 empty=104 births=20 deaths_e=90 deaths_a=0 interactions=760 consumed=5 novel=104 inj=0/4 blocked=4 dE=21969.0 energy=123.7/1791.2 size=35.9/493 age=4.5/8 gen=5
tick=9 pop=823 res=0 empty=77 births=18 deaths_e=69 deaths_a=0 interactions=794 consumed=2 novel=80 inj=0/4 blocked=4 dE=30472.4 energy=156.4/2588.0 size=35.9/496 age=5.2/9 gen=5
tick=10 pop=822 res=0 empty=78 births=19 deaths_e=78 deaths_a=0 interactions=823 consumed=0 novel=58 inj=0/4 blocked=4 dE=28028.9 energy=190.7/3488.0 size=33.5/499 age=6.0/10 gen=5
tick=11 pop=849 res=0 empty=51 births=17 deaths_e=51 deaths_a=0 interactions=822 consumed=0 novel=61 inj=0/4 blocked=4 dE=32565.7 energy=223.0/4092.0 size=33.3/497 age=6.7/11 gen=6
tick=12 pop=852 res=0 empty=48 births=11 deaths_e=47 deaths_a=0 interactions=849 consumed=0 novel=39 inj=0/4 blocked=4 dE=33488.6 energy=261.5/4533.4 size=34.5/497 age=7.6/12 gen=6
tick=13 pop=856 res=0 empty=44 births=10 deaths_e=44 deaths_a=0 interactions=852 consumed=1 novel=38 inj=1/4 blocked=3 dE=30608.0 energy=296.0/5485.7 size=33.6/498 age=8.4/13 gen=6
tick=14 pop=863 res=0 empty=37 births=16 deaths_e=37 deaths_a=0 interactions=856 consumed=1 novel=28 inj=1/4 blocked=3 dE=44453.5 energy=345.1/5473.4 size=32.2/497 age=9.3/14 gen=6
tick=15 pop=876 res=0 empty=24 births=8 deaths_e=24 deaths_a=0 interactions=863 consumed=0 novel=29 inj=0/4 blocked=4 dE=38772.2 energy=384.3/6420.9 size=33.4/497 age=10.1/15 gen=6
tick=16 pop=873 res=0 empty=27 births=4 deaths_e=27 deaths_a=0 interactions=876 consumed=0 novel=20 inj=0/4 blocked=4 dE=43284.9 energy=435.2/6863.3 size=33.1/497 age=11.0/16 gen=6
tick=17 pop=886 res=0 empty=14 births=7 deaths_e=14 deaths_a=0 interactions=873 consumed=0 novel=20 inj=0/4 blocked=4 dE=51155.6 energy=486.5/7927.7 size=31.6/497 age=11.8/17 gen=6
tick=18 pop=883 res=0 empty=17 births=3 deaths_e=17 deaths_a=0 interactions=886 consumed=0 novel=11 inj=0/4 blocked=4 dE=38606.8 energy=531.9/8992.1 size=30.4/497 age=12.8/18 gen=6
tick=19 pop=889 res=0 empty=11 births=3 deaths_e=11 deaths_a=0 interactions=883 consumed=0 novel=14 inj=0/4 blocked=4 dE=48166.3 energy=582.5/10057.5 size=31.1/497 age=13.6/19 gen=6
tick=20 pop=890 res=0 empty=10 births=2 deaths_e=10 deaths_a=0 interactions=889 consumed=0 novel=9 inj=0/4 blocked=4 dE=51640.5 energy=639.9/11120.9 size=32.1/497 age=14.6/20 gen=6
tick=21 pop=886 res=0 empty=14 births=1 deaths_e=14 deaths_a=0 interactions=890 consumed=0 novel=9 inj=0/4 blocked=4 dE=57503.5 energy=707.6/10876.6 size=33.3/497 age=15.5/21 gen=6
tick=22 pop=893 res=0 empty=7 births=4 deaths_e=7 deaths_a=0 interactions=886 consumed=0 novel=10 inj=0/4 blocked=4 dE=44753.0 energy=752.2/10633.3 size=32.1/497 age=16.4/22 gen=6
tick=23 pop=893 res=0 empty=7 births=1 deaths_e=7 deaths_a=0 interactions=893 consumed=0 novel=6 inj=0/4 blocked=4 dE=51568.5 energy=810.0/11075.7 size=32.1/497 age=17.4/23 gen=6
tick=24 pop=890 res=0 empty=10 births=4 deaths_e=10 deaths_a=0 interactions=893 consumed=0 novel=3 inj=0/4 blocked=4 dE=46005.1 energy=864.4/12141.1 size=31.6/497 age=18.3/24 gen=6
tick=25 pop=896 res=0 empty=4 births=3 deaths_e=4 deaths_a=0 interactions=890 consumed=0 novel=7 inj=0/4 blocked=4 dE=59431.4 energy=924.9/13205.5 size=31.5/497 age=19.2/25 gen=6
tick=26 pop=894 res=0 empty=6 births=3 deaths_e=6 deaths_a=0 interactions=896 consumed=0 novel=1 inj=0/4 blocked=4 dE=52365.0 energy=985.6/14269.9 size=31.0/497 age=20.2/26 gen=6
tick=27 pop=896 res=0 empty=4 births=2 deaths_e=4 deaths_a=0 interactions=894 consumed=0 novel=4 inj=0/4 blocked=4 dE=52494.8 energy=1042.0/15333.3 size=30.9/497 age=21.1/27 gen=6
tick=28 pop=892 res=0 empty=8 births=0 deaths_e=8 deaths_a=0 interactions=896 consumed=0 novel=4 inj=0/4 blocked=4 dE=52588.4 energy=1105.6/16394.7 size=31.0/497 age=22.1/28 gen=6
tick=29 pop=896 res=0 empty=4 births=0 deaths_e=4 deaths_a=0 interactions=892 consumed=0 novel=8 inj=0/4 blocked=4 dE=54888.0 energy=1161.9/16834.1 size=31.2/497 age=23.0/29 gen=6
tick=30 pop=894 res=0 empty=6 births=0 deaths_e=6 deaths_a=0 interactions=896 consumed=0 novel=4 inj=0/4 blocked=4 dE=54072.6 energy=1225.0/17898.5 size=31.0/497 age=24.0/30 gen=6
tick=31 pop=898 res=0 empty=2 births=2 deaths_e=2 deaths_a=0 interactions=894 consumed=0 novel=4 inj=0/4 blocked=4 dE=53025.3 energy=1278.6/18960.9 size=31.1/497 age=24.9/31 gen=6
tick=32 pop=895 res=0 empty=5 births=0 deaths_e=5 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=48944.1 energy=1337.6/20023.3 size=31.2/497 age=26.0/32 gen=6
tick=33 pop=896 res=1 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=895 consumed=0 novel=4 inj=1/4 blocked=3 dE=51401.3 energy=1393.4/19779.0 size=31.2/497 age=26.9/33 gen=6
tick=34 pop=895 res=0 empty=5 births=0 deaths_e=5 deaths_a=0 interactions=896 consumed=1 novel=4 inj=0/4 blocked=4 dE=53781.2 energy=1455.1/20843.4 size=31.1/497 age=27.9/34 gen=6
tick=35 pop=897 res=0 empty=3 births=1 deaths_e=3 deaths_a=0 interactions=895 consumed=0 novel=4 inj=0/4 blocked=4 dE=50670.9 energy=1508.3/21906.8 size=31.2/497 age=28.8/35 gen=6
tick=36 pop=897 res=0 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=52560.0 energy=1566.9/21663.5 size=31.2/497 age=29.8/36 gen=6
tick=37 pop=897 res=0 empty=3 births=1 deaths_e=3 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=52329.5 energy=1625.3/22728.9 size=30.5/497 age=30.8/37 gen=6
tick=38 pop=899 res=0 empty=1 births=1 deaths_e=1 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=55417.3 energy=1683.3/23793.3 size=30.7/497 age=31.7/38 gen=6
tick=39 pop=896 res=0 empty=4 births=0 deaths_e=4 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=49147.3 energy=1743.8/24858.7 size=30.6/497 age=32.8/39 gen=6
tick=40 pop=900 res=0 empty=0 births=1 deaths_e=0 deaths_a=0 interactions=896 consumed=0 novel=3 inj=0/4 blocked=4 dE=50109.3 energy=1791.7/25302.1 size=30.8/497 age=33.6/40 gen=6
tick=41 pop=895 res=0 empty=5 births=0 deaths_e=5 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=55478.9 energy=1863.7/25059.8 size=30.8/497 age=34.8/41 gen=6
tick=42 pop=899 res=0 empty=1 births=2 deaths_e=1 deaths_a=0 interactions=895 consumed=0 novel=3 inj=0/4 blocked=4 dE=50872.3 energy=1912.0/24816.5 size=30.6/497 age=35.6/42 gen=6
tick=43 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=48589.9 energy=1966.0/24572.2 size=30.8/497 age=36.6/43 gen=6
tick=44 pop=896 res=0 empty=4 births=1 deaths_e=4 deaths_a=0 interactions=899 consumed=0 novel=0 inj=0/4 blocked=4 dE=54370.0 energy=2033.3/25500.9 size=30.7/497 age=37.6/44 gen=6
tick=45 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=896 consumed=0 novel=4 inj=0/4 blocked=4 dE=53108.5 energy=2083.3/26125.4 size=31.2/497 age=38.5/45 gen=6
tick=46 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=56080.4 energy=2150.4/26750.9 size=30.9/497 age=39.5/46 gen=6
tick=47 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=47997.8 energy=2203.8/28196.8 size=31.2/497 age=40.5/47 gen=6
tick=48 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=49144.3 energy=2256.0/29643.7 size=30.8/497 age=41.5/48 gen=6
tick=49 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=53756.8 energy=2315.8/30261.2 size=30.8/497 age=42.5/49 gen=6
tick=50 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=56666.4 energy=2378.9/31708.1 size=30.8/497 age=43.4/50 gen=6
tick=51 pop=898 res=0 empty=2 births=1 deaths_e=2 deaths_a=0 interactions=899 consumed=0 novel=0 inj=0/4 blocked=4 dE=51114.4 energy=2438.4/32327.6 size=30.9/497 age=44.5/51 gen=6
tick=52 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=55128.2 energy=2494.3/32154.1 size=30.8/497 age=45.4/52 gen=6
tick=53 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=55713.0 energy=2561.9/32774.6 size=30.9/497 age=46.4/53 gen=6
