tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
1,97,73,730,58.32,170.20,14.59,487,1.00,1,5,3,0,33,21,50,0,1,4,4,0,5,50,3,0,21,33,1157.30
2,208,67,625,38.67,217.90,28.95,495,1.41,2,39,12,0,89,9,84,0,2,4,3,1,44,134,15,0,30,122,2386.50
3,363,60,477,37.56,1023.35,29.06,496,1.70,3,36,36,0,201,10,155,0,3,4,3,1,80,289,51,0,40,323,5590.00
4,539,46,315,45.28,1068.05,34.79,500,2.02,4,60,60,0,361,16,176,0,4,4,2,2,140,465,111,0,56,684,10771.70
5,660,28,212,59.01,1077.75,37.93,496,2.50,5,45,98,0,538,19,174,0,4,4,1,3,185,639,209,0,75,1222,14541.68
6,745,13,142,72.71,1156.20,42.24,499,3.04,6,40,109,0,660,15,154,0,4,4,0,4,225,793,318,0,90,1882,15221.41
7,760,7,133,100.34,1564.30,40.11,499,3.76,7,21,126,0,745,6,120,0,5,4,0,4,246,913,444,0,96,2627,22089.99
8,794,2,104,123.71,1791.20,35.92,493,4.47,8,20,90,0,760,5,104,0,5,4,0,4,266,1017,534,0,101,3387,21969.00
9,823,0,77,156.38,2588.00,35.87,496,5.20,9,18,69,0,794,2,80,0,5,4,0,4,284,1097,603,0,103,4181,30472.42
10,822,0,78,190.67,3488.00,33.47,499,6.03,10,19,78,0,823,0,58,0,5,4,0,4,303,1155,681,0,103,5004,28028.92
11,849,0,51,222.96,4092.00,33.33,497,6.73,11,17,51,0,822,0,61,0,6,4,0,4,320,1216,732,0,103,5826,32565.68
12,852,0,48,261.48,4533.40,34.55,497,7.58,12,11,47,0,849,0,39,0,6,4,0,4,331,1255,779,0,103,6675,33488.60
