LambLife starting: 30x30 grid, seed=1, ticks=200
tick=1 pop=97 res=73 empty=730 births=5 deaths_e=3 deaths_a=0 interactions=33 consumed=21 novel=50 inj=4/4 blocked=0 dE=1133.3 energy=58.1/170.2 size=14.6/487 age=1.0/1 gen=1
tick=2 pop=208 res=67 empty=625 births=39 deaths_e=12 deaths_a=0 interactions=89 consumed=9 novel=84 inj=3/4 blocked=1 dE=2198.5 energy=37.7/217.9 size=29.0/495 age=1.4/2 gen=2
tick=3 pop=363 res=60 empty=477 births=36 deaths_e=36 deaths_a=0 interactions=201 consumed=10 novel=155 inj=3/4 blocked=1 dE=5326.0 energy=36.2/1021.4 size=29.1/496 age=1.7/3 gen=3
tick=4 pop=538 res=46 empty=316 births=60 deaths_e=61 deaths_a=0 interactions=361 consumed=16 novel=176 inj=2/4 blocked=2 dE=10087.1 energy=43.2/1066.1 size=34.8/500 age=2.0/4 gen=4
tick=5 pop=658 res=31 empty=211 births=45 deaths_e=106 deaths_a=0 interactions=537 consumed=16 novel=181 inj=1/4 blocked=3 dE=8271.2 energy=47.9/1071.8 size=33.6/497 age=2.5/5 gen=4
tick=6 pop=737 res=19 empty=144 births=44 deaths_e=119 deaths_a=0 interactions=657 consumed=13 novel=154 inj=1/4 blocked=3 dE=15066.7 energy=63.2/1225.4 size=38.8/496 age=3.0/6 gen=5
tick=7 pop=775 res=8 empty=117 births=33 deaths_e=112 deaths_a=0 interactions=737 consumed=12 novel=117 inj=1/4 blocked=3 dE=20531.1 energy=86.6/1305.6 size=48.0/496 age=3.7/7 gen=5
tick=8 pop=780 res=5 empty=115 births=18 deaths_e=112 deaths_a=0 interactions=775 consumed=4 novel=99 inj=1/4 blocked=3 dE=21926.2 energy=114.2/1990.1 size=42.9/499 age=4.5/8 gen=5
tick=9 pop=808 res=0 empty=92 births=25 deaths_e=85 deaths_a=0 interactions=780 consumed=7 novel=88 inj=2/4 blocked=2 dE=21863.9 energy=137.3/2239.6 size=40.0/498 age=5.1/9 gen=5
tick=10 pop=819 res=0 empty=81 births=26 deaths_e=80 deaths_a=0 interactions=808 consumed=0 novel=65 inj=0/4 blocked=4 dE=26711.9 energy=168.0/2724.5 size=37.1/500 age=5.9/10 gen=5
tick=11 pop=825 res=0 empty=75 births=27 deaths_e=75 deaths_a=0 interactions=819 consumed=0 novel=54 inj=0/4 blocked=4 dE=21468.6 energy=192.8/3104.0 size=33.5/496 age=6.7/11 gen=5
