tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
1,201,69,630,60.27,186.80,14.90,496,1.00,1,24,2,0,77,25,89,0,1,4,4,0,24,89,2,0,25,77,3113.70
2,428,54,418,49.72,1113.50,30.14,500,1.43,2,63,17,0,196,19,181,0,2,4,4,0,87,270,19,0,44,273,9166.85
3,639,37,224,54.45,2110.40,44.88,500,1.81,3,69,84,0,427,17,226,0,3,4,0,4,156,496,103,0,61,700,13512.72
4,731,19,150,83.07,2122.00,46.81,500,2.41,4,39,111,0,639,18,164,0,3,4,0,4,195,660,214,0,79,1339,25927.52
5,769,9,122,112.67,2708.20,44.40,500,3.09,5,26,118,0,731,11,130,0,3,4,1,3,221,790,332,0,90,2070,25925.39
6,801,5,94,142.73,2731.30,45.18,500,3.78,6,22,92,0,769,5,102,0,3,4,1,3,243,892,424,0,95,2839,27678.85
7,817,4,79,179.75,3474.90,43.74,500,4.55,7,17,74,0,801,3,73,0,4,4,2,2,260,965,498,0,98,3640,32534.72
8,839,0,61,210.53,4234.80,42.20,500,5.32,8,15,57,0,817,4,64,0,4,4,0,4,275,1029,555,0,102,4457,29774.95
9,842,0,58,247.76,4134.30,36.87,500,6.17,9,11,55,0,839,0,47,0,4,4,0,4,286,1076,610,0,102,5296,31977.43
10,856,0,44,284.21,5082.80,35.72,499,6.96,10,16,41,0,842,0,39,0,4,4,0,4,302,1115,651,0,102,6138,34668.89
11,864,1,35,327.27,4994.00,35.29,499,7.81,11,7,34,0,856,0,35,0,4,4,1,3,309,1150,685,0,102,6994,39483.36
12,874,1,25,365.78,4893.50,35.11,499,8.66,12,5,25,0,864,0,30,0,4,4,0,4,314,1180,710,0,102,7858,36931.42
13,871,1,28,413.46,5708.00,32.45,499,9.61,13,4,28,0,874,1,21,0,4,4,1,3,318,1201,738,0,103,8732,40429.75
14,883,0,17,451.52,5746.50,32.83,499,10.42,14,7,17,0,871,1,22,0,4,4,0,4,325,1223,755,0,104,9603,38568.16
15,881,0,19,499.68,6587.40,31.08,499,11.36,15,2,19,0,883,0,15,0,4,4,0,4,327,1238,774,0,104,10486,41526.12
16,888,0,12,543.28,6648.50,31.53,499,12.23,16,3,12,0,881,0,16,0,4,4,0,4,330,1254,786,0,104,11367,42209.05
17,884,0,16,591.33,7471.80,30.97,499,13.21,17,2,16,0,888,0,10,0,4,4,0,4,332,1264,802,0,104,12255,40306.00
18,891,0,9,635.95,8418.50,31.69,499,14.07,18,2,9,0,884,0,14,0,4,4,0,4,334,1278,811,0,104,13139,43899.65
19,887,0,13,692.14,9370.20,31.47,499,15.09,19,1,13,0,891,0,8,0,4,4,0,4,335,1286,824,0,104,14030,47290.00
20,892,0,8,740.50,9300.90,31.67,499,15.97,20,3,8,0,887,0,10,0,4,4,0,4,338,1296,832,0,104,14917,46602.35
21,896,0,4,789.54,10243.60,31.57,499,16.89,21,1,4,0,892,0,7,0,4,4,0,4,339,1303,836,0,104,15809,46905.05
22,894,0,6,843.86,10504.25,31.61,499,17.89,22,1,6,0,896,0,3,0,4,4,0,4,340,1306,842,0,104,16705,46977.75
23,893,0,7,895.67,11449.75,31.92,499,18.87,23,2,7,0,894,0,4,0,4,4,0,4,342,1310,849,0,104,17599,45421.35
24,896,0,4,937.09,11353.25,30.95,499,19.79,24,2,4,0,893,0,5,0,4,4,0,4,344,1315,853,0,104,18492,39797.60
25,896,0,4,982.13,11256.75,30.58,499,20.78,25,2,4,0,896,0,2,0,4,4,0,4,346,1317,857,0,104,19388,40355.70
26,896,0,4,1028.10,12122.80,30.15,499,21.75,26,2,4,0,896,0,2,0,4,4,0,4,348,1319,861,0,104,20284,41189.68
27,898,0,2,1076.09,12259.20,29.49,499,22.69,27,1,2,0,896,0,3,0,4,4,0,4,349,1322,863,0,104,21180,45152.70
28,896,0,4,1130.49,12698.30,29.26,499,23.73,28,2,4,0,898,0,0,0,4,4,0,4,351,1322,867,0,104,22078,46595.20
29,898,0,2,1174.76,13115.10,30.38,499,24.64,29,0,2,0,896,0,4,0,4,4,0,4,351,1326,869,0,104,22974,42013.00
30,898,0,2,1224.45,14061.60,30.02,499,25.63,30,0,2,0,898,0,2,0,4,4,0,4,351,1328,871,0,104,23872,44625.34
31,900,0,0,1278.81,14649.40,29.96,499,26.58,31,1,0,0,898,0,1,0,4,4,0,4,352,1329,871,0,104,24770,51369.40
32,900,0,0,1329.46,15602.90,29.96,499,27.58,32,0,0,0,900,0,0,0,4,4,0,4,352,1329,871,0,104,25670,45588.70
33,899,0,1,1377.73,16019.70,29.99,499,28.60,33,0,1,0,900,0,0,0,4,4,0,4,352,1329,872,0,104,26570,42060.25
34,899,0,1,1437.09,16434.50,29.99,499,29.59,34,1,1,0,899,0,0,0,4,4,0,4,353,1329,873,0,104,27469,53366.72
35,897,0,3,1491.32,17389.00,29.68,499,30.63,35,0,3,0,899,0,1,0,4,4,0,4,353,1330,876,0,104,28368,45766.87
36,900,0,0,1540.67,18336.50,29.60,499,31.53,36,1,0,0,897,0,2,0,4,4,0,4,354,1332,876,0,104,29265,48890.20
37,897,0,3,1601.29,18763.00,29.69,499,32.63,37,0,3,0,900,0,0,0,4,4,0,4,354,1332,879,0,104,30165,49755.36
38,900,0,0,1647.53,19711.50,29.89,499,33.52,38,1,0,0,897,0,2,0,4,4,0,4,355,1334,879,0,104,31062,46421.60
39,898,0,2,1709.72,20297.30,29.94,499,34.54,39,0,2,0,900,0,0,0,4,4,0,4,355,1334,881,0,104,31962,52547.50
40,899,0,1,1762.97,20884.10,29.91,499,35.50,40,1,1,0,898,0,1,0,4,4,0,4,356,1335,882,0,104,32860,49582.50
41,897,0,3,1818.93,21839.60,29.97,499,36.48,41,1,3,0,899,0,0,0,4,4,0,4,357,1335,885,0,104,33759,46667.47
42,899,0,1,1876.02,22254.40,29.53,499,37.37,42,1,1,0,897,0,2,0,4,4,0,4,358,1337,886,0,104,34656,54962.70
43,900,0,0,1924.66,22788.20,29.62,499,38.33,43,0,0,0,899,0,1,0,4,4,0,4,358,1338,886,0,104,35555,45654.20
44,898,0,2,1983.12,23736.70,29.68,499,39.39,44,0,2,0,900,0,0,0,4,4,0,4,358,1338,888,0,104,36455,48651.40
45,900,0,0,2037.50,24162.20,29.62,499,40.30,45,1,0,0,898,0,1,0,4,4,0,4,359,1339,888,0,104,37353,52900.50
46,898,0,2,2101.90,25108.70,29.56,499,41.38,46,0,2,0,900,0,0,0,4,4,0,4,359,1339,890,0,104,38253,53762.60
47,899,0,1,2152.10,26064.20,29.53,499,42.29,47,1,1,0,898,0,1,0,4,4,0,4,360,1340,891,0,104,39151,47232.90
48,900,0,0,2199.94,26598.00,29.59,499,43.24,48,0,0,0,899,0,1,0,4,4,0,4,360,1341,891,0,104,40050,45201.20
49,899,0,1,2262.59,27024.50,29.62,499,44.27,49,0,1,0,900,0,0,0,4,4,0,4,360,1341,892,0,104,40950,54124.00
50,899,0,1,2321.37,27613.30,29.62,499,45.27,50,0,1,0,899,0,1,0,4,4,0,4,360,1342,893,0,104,41849,52843.00
51,899,0,1,2379.19,28038.80,29.71,499,46.27,51,0,1,0,899,0,1,0,4,4,0,4,360,1343,894,0,104,42748,51981.50
52,900,0,0,2427.15,28464.30,29.68,499,47.22,52,0,0,0,899,0,1,0,4,4,0,4,360,1344,894,0,104,43647,45543.40
53,897,0,3,2488.48,28879.10,29.69,499,48.30,53,0,3,0,900,0,0,0,4,4,0,4,360,1344,897,0,104,44547,47736.58
54,899,0,1,2535.45,29303.60,30.40,499,49.19,54,0,1,0,897,0,3,0,4,4,0,4,360,1347,898,0,104,45444,47200.50
