LambLife starting: 30x30 grid, seed=1, ticks=200
tick=1 pop=201 res=69 empty=630 births=24 deaths_e=2 deaths_a=0 interactions=77 consumed=25 novel=89 inj=4/4 blocked=0 dE=3113.7 energy=60.3/186.8 size=14.9/496 age=1.0/1 gen=1
tick=2 pop=428 res=54 empty=418 births=63 deaths_e=17 deaths_a=0 interactions=196 consumed=19 novel=181 inj=4/4 blocked=0 dE=9166.9 energy=49.7/1113.5 size=30.1/500 age=1.4/2 gen=2
tick=3 pop=639 res=37 empty=224 births=69 deaths_e=84 deaths_a=0 interactions=427 consumed=17 novel=226 inj=0/4 blocked=4 dE=13512.7 energy=54.4/2110.4 size=44.9/500 age=1.8/3 gen=3
tick=4 pop=731 res=19 empty=150 births=39 deaths_e=111 deaths_a=0 interactions=639 consumed=18 novel=164 inj=0/4 blocked=4 dE=25927.5 energy=83.1/2122.0 size=46.8/500 age=2.4/4 gen=3
tick=5 pop=769 res=9 empty=122 births=26 deaths_e=118 deaths_a=0 interactions=731 consumed=11 novel=130 inj=1/4 blocked=3 dE=25925.4 energy=112.7/2708.2 size=44.4/500 age=3.1/5 gen=3
tick=6 pop=801 res=5 empty=94 births=22 deaths_e=92 deaths_a=0 interactions=769 consumed=5 novel=102 inj=1/4 blocked=3 dE=27678.9 energy=142.7/2731.3 size=45.2/500 age=3.8/6 gen=3
tick=7 pop=817 res=4 empty=79 births=17 deaths_e=74 deaths_a=0 interactions=801 consumed=3 novel=73 inj=2/4 blocked=2 dE=32534.7 energy=179.8/3474.9 size=43.7/500 age=4.6/7 gen=4
tick=8 pop=839 res=0 empty=61 births=15 deaths_e=57 deaths_a=0 interactions=817 consumed=4 novel=64 inj=0/4 blocked=4 dE=29774.9 energy=210.5/4234.8 size=42.2/500 age=5.3/8 gen=4
tick=9 pop=842 res=0 empty=58 births=11 deaths_e=55 deaths_a=0 interactions=839 consumed=0 novel=47 inj=0/4 blocked=4 dE=31977.4 energy=247.8/4134.3 size=36.9/500 age=6.2/9 gen=4
tick=10 pop=856 res=0 empty=44 births=16 deaths_e=41 deaths_a=0 interactions=842 consumed=0 novel=39 inj=0/4 blocked=4 dE=34668.9 energy=284.2/5082.8 size=35.7/499 age=7.0/10 gen=4
tick=11 pop=864 res=1 empty=35 births=7 deaths_e=34 deaths_a=0 interactions=856 consumed=0 novel=35 inj=1/4 blocked=3 dE=39483.4 energy=327.3/4994.0 size=35.3/499 age=7.8/11 gen=4
