LambLife starting: 30x30 grid, seed=1, ticks=200
tick=29 pop=896 res=0 empty=4 births=0 deaths_e=4 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=46796.4 energy=1113.3/13667.8 size=28.6/499 age=24.6/29 gen=4
tick=30 pop=896 res=0 empty=4 births=0 deaths_e=4 deaths_a=0 interactions=896 consumed=0 novel=4 inj=0/4 blocked=4 dE=44784.4 energy=1163.3/14379.9 size=28.9/499 age=25.6/30 gen=4
tick=31 pop=892 res=0 empty=8 births=1 deaths_e=8 deaths_a=0 interactions=896 consumed=0 novel=3 inj=0/4 blocked=4 dE=36181.6 energy=1209.0/14749.6 size=28.1/499 age=26.7/31 gen=4
tick=32 pop=897 res=0 empty=3 births=1 deaths_e=3 deaths_a=0 interactions=892 consumed=1 novel=7 inj=1/4 blocked=3 dE=51351.9 energy=1259.6/15492.6 size=28.0/499 age=27.5/32 gen=4
tick=33 pop=897 res=0 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=43290.4 energy=1307.8/16235.6 size=27.7/499 age=28.5/33 gen=4
tick=34 pop=896 res=0 empty=4 births=0 deaths_e=4 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=43809.0 energy=1358.2/17008.9 size=28.0/499 age=29.5/34 gen=4
tick=35 pop=898 res=0 empty=2 births=1 deaths_e=2 deaths_a=0 interactions=896 consumed=0 novel=3 inj=0/4 blocked=4 dE=45258.2 energy=1405.5/17753.9 size=27.7/499 age=30.4/35 gen=4
tick=36 pop=897 res=0 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=43851.7 energy=1456.0/18496.9 size=27.3/499 age=31.4/36 gen=4
tick=37 pop=897 res=0 empty=3 births=1 deaths_e=3 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=44627.6 energy=1505.7/18243.2 size=27.6/499 age=32.4/37 gen=4
tick=38 pop=893 res=0 empty=7 births=0 deaths_e=7 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=48856.8 energy=1567.2/19017.5 size=28.0/499 age=33.5/38 gen=4
tick=39 pop=897 res=1 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=893 consumed=0 novel=6 inj=1/4 blocked=3 dE=46473.0 energy=1612.0/19761.5 size=27.8/499 age=34.3/39 gen=4
tick=40 pop=898 res=0 empty=2 births=1 deaths_e=2 deaths_a=0 interactions=897 consumed=1 novel=2 inj=0/4 blocked=4 dE=44654.9 energy=1660.0/20190.2 size=27.4/499 age=35.3/40 gen=4
tick=41 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=43046.3 energy=1706.0/21254.9 size=27.4/499 age=36.2/41 gen=4
tick=42 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=43073.1 energy=1755.9/21716.9 size=27.0/499 age=37.2/42 gen=4
tick=43 pop=900 res=0 empty=0 births=1 deaths_e=0 deaths_a=0 interactions=898 consumed=0 novel=1 inj=0/4 blocked=4 dE=51274.1 energy=1808.9/22775.6 size=26.9/499 age=38.2/43 gen=4
tick=44 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=43692.1 energy=1859.5/23835.3 size=26.9/499 age=39.2/44 gen=4
tick=45 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=44733.7 energy=1907.2/24894.0 size=27.4/499 age=40.2/45 gen=4
tick=46 pop=897 res=0 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=43439.5 energy=1962.0/25953.7 size=27.0/499 age=41.2/46 gen=4
tick=47 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=39769.6 energy=2001.9/26416.7 size=27.5/499 age=42.1/47 gen=4
tick=48 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=43822.7 energy=2052.9/27477.4 size=27.2/499 age=43.2/48 gen=4
tick=49 pop=896 res=0 empty=4 births=0 deaths_e=4 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=46630.8 energy=2109.5/28537.1 size=28.1/499 age=44.3/49 gen=4
tick=50 pop=897 res=0 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=896 consumed=0 novel=4 inj=0/4 blocked=4 dE=46494.2 energy=2159.0/29009.8 size=28.8/499 age=45.2/50 gen=4
tick=51 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=44711.6 energy=2203.9/30070.5 size=28.2/499 age=46.1/51 gen=4
tick=52 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=52157.0 energy=2259.4/30530.5 size=28.2/499 age=47.0/52 gen=4
tick=53 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=46605.0 energy=2316.4/31590.2 size=28.2/499 age=48.1/53 gen=4
tick=54 pop=899 res=0 empty=1 births=1 deaths_e=1 deaths_a=0 interactions=898 consumed=0 novel=1 inj=0/4 blocked=4 dE=47489.4 energy=2366.6/32650.9 size=28.2/499 age=49.0/54 gen=4
tick=55 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=45732.1 energy=2414.8/33709.6 size=28.2/499 age=50.0/55 gen=4
tick=56 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=39281.3 energy=2458.4/34183.3 size=28.2/499 age=51.0/56 gen=4
tick=57 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=48803.0 energy=2515.5/34646.3 size=28.2/499 age=52.0/57 gen=4
tick=58 pop=900 res=0 empty=0 births=1 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=0 inj=0/4 blocked=4 dE=46772.5 energy=2564.6/35122.0 size=28.2/499 age=52.9/58 gen=4
tick=59 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=46401.6 energy=2616.2/36187.7 size=28.2/499 age=53.9/59 gen=4
tick=60 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=48219.2 energy=2669.8/37247.4 size=28.2/499 age=54.9/60 gen=4
tick=61 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=52628.0 energy=2731.3/37718.1 size=28.2/499 age=56.0/61 gen=4
tick=62 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=51655.7 energy=2785.6/38777.8 size=28.6/499 age=56.9/62 gen=4
tick=63 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=46111.9 energy=2843.2/39838.5 size=28.3/499 age=58.0/63 gen=4
tick=64 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=49363.2 energy=2891.7/40898.2 size=28.2/499 age=58.9/64 gen=4
tick=65 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=47184.3 energy=2944.1/41961.9 size=28.2/499 age=59.9/65 gen=4
tick=66 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=45671.9 energy=2998.2/42424.9 size=28.2/499 age=60.9/66 gen=4
tick=67 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=48290.5 energy=3048.6/42887.9 size=28.2/499 age=61.9/67 gen=4
tick=68 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=54805.7 energy=3109.4/43349.9 size=28.2/499 age=62.9/68 gen=4
tick=69 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=52136.1 energy=3167.4/43810.9 size=28.2/499 age=63.9/69 gen=4
tick=70 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=46239.5 energy=3218.8/44273.9 size=28.2/499 age=64.9/70 gen=4
tick=71 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=42766.6 energy=3266.3/44750.6 size=28.2/499 age=65.9/71 gen=4
tick=72 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=40950.0 energy=3311.8/44647.0 size=28.2/499 age=66.9/72 gen=4
tick=73 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=55659.0 energy=3377.4/45121.7 size=28.3/499 age=67.9/73 gen=4
tick=74 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=39770.1 energy=3421.6/45017.1 size=28.3/499 age=68.8/74 gen=4
tick=75 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=48163.3 energy=3471.3/45477.1 size=28.5/499 age=69.8/75 gen=4
tick=76 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=48539.3 energy=3533.1/45938.1 size=28.3/499 age=70.9/76 gen=4
tick=77 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=54104.6 energy=3585.4/45834.5 size=28.7/499 age=71.8/77 gen=4
tick=78 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=50761.3 energy=3645.8/46895.2 size=28.7/499 age=72.8/78 gen=4
tick=79 pop=900 res=0 empty=0 births=1 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=0 inj=0/4 blocked=4 dE=43558.6 energy=3690.2/47959.9 size=28.7/499 age=73.8/79 gen=4
tick=80 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=54844.5 energy=3751.1/49025.6 size=28.7/499 age=74.8/80 gen=4
tick=81 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=54923.9 energy=3812.1/50085.3 size=28.7/499 age=75.8/81 gen=4
tick=82 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=48762.5 energy=3866.3/51151.0 size=28.7/499 age=76.8/82 gen=4
tick=83 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=47678.1 energy=3919.3/51046.4 size=28.7/499 age=77.8/83 gen=4
tick=84 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=48801.1 energy=3973.5/51507.4 size=28.7/499 age=78.8/84 gen=4
tick=85 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=45442.7 energy=4024.0/51982.1 size=28.7/499 age=79.8/85 gen=4
tick=86 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=52187.6 energy=4082.0/52444.1 size=28.7/499 age=80.8/86 gen=4
