tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
1,201,69,630,59.98,186.80,14.90,496,1.00,1,24,2,0,77,25,89,0,1,4,4,0,24,89,2,0,25,77,3055.70
2,428,54,418,49.15,1113.50,30.14,500,1.43,2,63,17,0,196,19,181,0,2,4,4,0,87,270,19,0,44,273,8979.85
3,639,37,224,53.57,2110.40,44.88,500,1.81,3,69,84,0,427,17,226,0,3,4,0,4,156,496,103,0,61,700,13192.72
4,731,19,150,81.63,2120.00,46.81,500,2.41,4,39,111,0,639,18,164,0,3,4,0,4,195,660,214,0,79,1339,25445.77
5,768,9,123,110.65,2708.20,44.34,500,3.09,5,26,119,0,731,11,130,0,3,4,1,3,221,790,333,0,90,2070,25304.19
6,812,4,84,137.33,3406.80,41.58,500,3.77,6,25,84,0,768,6,103,0,3,4,1,3,246,893,417,0,96,2838,26536.53
7,816,2,82,171.70,3983.70,41.02,499,4.58,7,16,78,0,812,2,66,0,3,4,0,4,262,959,495,0,98,3650,28590.36
8,828,1,71,200.42,4684.30,36.63,499,5.39,8,16,58,0,816,1,54,0,3,4,0,4,278,1013,553,0,99,4466,25843.24
9,851,0,49,232.28,4692.90,35.20,499,6.15,9,17,42,0,828,1,48,0,3,4,0,4,295,1061,595,0,100,5294,31724.92
10,851,0,49,275.43,5380.80,31.94,499,7.04,10,7,45,0,851,0,38,0,3,4,0,4,302,1099,640,0,100,6145,36720.20
11,870,0,30,311.86,5956.70,31.12,499,7.83,11,10,28,0,851,0,37,0,3,4,0,4,312,1136,668,0,100,6996,36928.50
12,874,0,26,353.29,5966.30,27.47,499,8.74,12,9,26,0,870,0,21,0,3,4,0,4,321,1157,694,0,100,7866,37455.48
13,884,0,16,390.70,6541.20,29.29,499,9.60,13,10,16,0,874,0,16,0,4,4,0,4,331,1173,710,0,100,8740,36605.35
14,885,0,15,431.01,7231.10,28.28,499,10.55,14,4,15,0,884,0,12,0,4,4,0,4,335,1185,725,0,100,9624,36057.01
15,877,0,23,476.32,7244.40,28.02,499,11.53,15,3,23,0,885,0,12,0,4,4,0,4,338,1197,748,0,100,10509,36290.95
16,888,0,12,518.34,7268.70,27.09,499,12.33,16,5,12,0,877,0,18,0,4,4,0,4,343,1215,760,0,100,11386,42552.95
17,889,0,11,562.31,7293.00,27.69,499,13.27,17,2,11,0,888,1,10,0,4,4,1,3,345,1225,771,0,101,12274,39605.47
18,891,0,9,605.50,7695.80,28.86,499,14.21,18,2,9,0,889,0,9,0,4,4,0,4,347,1234,780,0,101,13163,39610.39
19,892,0,8,646.74,8172.60,28.37,499,15.17,19,2,8,0,891,0,7,0,4,4,0,4,349,1241,788,0,101,14054,37388.10
20,890,0,10,697.77,8235.30,28.75,499,16.16,20,0,10,0,892,0,8,0,4,4,0,4,349,1249,798,0,101,14946,44130.66
21,892,0,8,741.35,8795.20,27.84,499,17.07,21,2,8,0,890,0,8,0,4,4,0,4,351,1257,806,0,101,15836,40266.07
