tick,child_lineage,parent_lineage,generation,expr_hash,birth_kind
14,1607,1120,1,40c0c668478ecf90,reproduction
14,1608,1593,2,40c0c668478ecf90,reproduction
14,1609,,0,0c5da772e4414513,novel
15,1610,1257,1,778c93a8b040cf3f,reproduction
15,1611,,0,778c93a8b040cf3f,novel
15,1612,,0,badbc2c09702af59,novel
15,1613,,0,9553f7275c2662f2,novel
15,1614,,0,2c3af2da59b33578,novel
15,1615,,0,48265d1d5387d05f,novel
15,1616,470,2,82b3dcb707aae47f,reproduction
15,1617,1609,1,555ba83db537de38,reproduction
15,1618,,0,1ba50e33418c2ea0,novel
15,1619,,0,d00900ec926a0a46,novel
15,1620,,0,e3d0e1aae8ae81f1,novel
15,1621,,0,778c93a8b040cf3f,novel
15,1622,,0,9b552cd841f4bbff,novel
15,1623,,0,a80c23ab474fb718,novel
15,1624,,0,19eb573194561182,novel
16,1625,,0,778c93a8b040cf3f,novel
16,1626,,0,3834e10236283bce,novel
16,1627,999,1,d1d701700d2f2d93,reproduction
16,1628,,0,615eea960b1b7c76,novel
16,1629,,0,0cac616864c67558,novel
16,1630,1306,1,82b3dcb707aae47f,reproduction
16,1631,,0,778c93a8b040cf3f,novel
16,1632,,0,22564a011d48c06d,novel
16,1633,,0,82b3dcb707aae47f,novel
16,1634,,0,40c0c668478ecf90,novel
16,1635,,0,40c0c668478ecf90,novel
16,1636,31,1,6e729b24b4c4aeb2,reproduction
16,1637,,0,6fe95da80c93a540,novel
16,1638,,0,da929c66eb3e88c1,novel
16,1639,,0,760618121fdcb8fa,novel
16,1640,371,1,40c0c668478ecf90,reproduction
16,1641,,0,130320a57cea58e6,novel
16,1642,,0,778c93a8b040cf3f,novel
16,1643,,0,619b022425490d44,novel
16,1644,,0,778c93a8b040cf3f,novel
16,1645,1477,1,9342b9a6df819f36,reproduction
16,1646,,0,778c93a8b040cf3f,novel
16,1647,,0,bcd21b07e6f7e5b9,novel
17,1648,,0,40c0c668478ecf90,novel
17,1649,,0,82f2dae3db97ca30,novel
17,1650,,0,778c93a8b040cf3f,novel
17,1651,,0,82b3dcb707aae47f,novel
17,1652,,0,40c0c668478ecf90,novel
17,1653,1487,1,2c0252c55f91c01e,reproduction
17,1654,1176,1,778c93a8b040cf3f,reproduction
17,1655,,0,8c5a107ab265c778,novel
17,1656,,0,619b022425490d44,novel
17,1657,,0,1a8f58dc619f2a85,novel
17,1658,,0,89f3f4e230826097,novel
17,1659,,0,8815c96bdb3624a6,novel
18,1660,,0,778c93a8b040cf3f,novel
18,1661,,0,40c0c668478ecf90,novel
18,1662,,0,82b3dcb707aae47f,novel
18,1663,1621,1,d00900ec926a0a46,reproduction
18,1664,,0,9bd4b6dc1df2d400,novel
18,1665,,0,2ec2bac7b1273991,novel
18,1666,,0,d00900ec926a0a46,novel
18,1667,407,2,79c08d5b42a93fee,reproduction
18,1668,,0,f28cabe89072b55c,novel
18,1669,,0,9784ebf0c15c90d0,novel
18,1670,,0,01af97247fbd8d4f,novel
19,1671,,0,59842e1d49fea475,novel
19,1672,,0,33966892c85cd8dc,novel
19,1673,,0,778c93a8b040cf3f,novel
19,1674,1549,3,4deb4c079f852bc8,reproduction
19,1675,,0,e49804235381f8cd,novel
19,1676,,0,778c93a8b040cf3f,novel
19,1677,,0,cbbcf44064d72fed,novel
19,1678,,0,778c93a8b040cf3f,novel
19,1679,1609,1,8001423918e5c6dc,reproduction
20,1680,,0,6cf2781cf7672524,novel
20,1681,,0,d04e73baaa1960e6,novel
20,1682,,0,49d26ab7565690b8,novel
20,1683,,0,d51e0bf092780a3d,novel
20,1684,,0,c68ef8c49cb7f556,novel
20,1685,,0,c8ebdfc8786d6db9,novel
20,1686,,0,78829be3d3b62100,novel
20,1687,,0,4d3be084d3467d01,novel
21,1688,,0,778c93a8b040cf3f,novel
21,1689,,0,778c93a8b040cf3f,novel
21,1690,,0,40c0c668478ecf90,novel
21,1691,,0,40c0c668478ecf90,novel
21,1692,1487,1,2c0252c55f91c01e,reproduction
21,1693,,0,85869a771e6f3064,novel
21,1694,,0,778c93a8b040cf3f,novel
21,1695,,0,690232eaea3b3feb,novel
21,1696,,0,82b3dcb707aae47f,novel
21,1697,723,2,867e3e17389b61dc,reproduction
22,1698,,0,4ac006eab1e24a50,novel
22,1699,,0,4d3be084d3467d01,novel
22,1700,,0,bda86a6c5bdcae3a,novel
22,1701,,0,02cfe80d059e3f34,novel
22,1702,12,1,4d3be084d3467d01,reproduction
22,1703,,0,22d1736d6c847b9a,novel
22,1704,,0,e217688421fc7824,novel
22,1705,,0,3ad5eb1bb9e38fb0,novel
23,1706,,0,555ba83db537de38,novel
23,1707,1704,1,6041db6004b9115f,reproduction
23,1708,443,1,9debdb31b6c15807,reproduction
23,1709,1549,3,cb3976286ea16de4,reproduction
23,1710,,0,778c93a8b040cf3f,novel
23,1711,,0,778c93a8b040cf3f,novel
23,1712,,0,3a8742f7d55570d7,novel
23,1713,,0,51eccb6e3930b511,novel
24,1714,,0,7aaff543b04f95e5,novel
24,1715,,0,40c0c668478ecf90,novel
24,1716,,0,778c93a8b040cf3f,novel
24,1717,,0,44b8cecd9e6c14df,novel
24,1718,,0,e30d74b9d64eeeb1,novel
24,1719,,0,778c93a8b040cf3f,novel
24,1720,,0,130320a57cea58e6,novel
25,1721,,0,778c93a8b040cf3f,novel
25,1722,,0,778c93a8b040cf3f,novel
25,1723,,0,f844fa3f2ec30d99,novel
25,1724,,0,116698a25bf2aac5,novel
25,1725,,0,351a8fbbdb969cff,novel
25,1726,,0,59e0f589913d07b9,novel
26,1727,1261,1,778c93a8b040cf3f,reproduction
26,1728,,0,e48aaf820f97d771,novel
26,1729,,0,29c99016a3e5336d,novel
26,1730,,0,e30d74b9d64eeeb1,novel
26,1731,,0,778c93a8b040cf3f,novel
26,1732,,0,3ad5eb1bb9e38fb0,novel
26,1733,,0,778c93a8b040cf3f,novel
26,1734,,0,bcd21b07e6f7e5b9,novel
26,1735,,0,90a2218be1753cf9,novel
26,1736,,0,40c0c668478ecf90,novel
27,1737,,0,40c0c668478ecf90,novel
27,1738,,0,3507b81d162157b7,novel
27,1739,,0,976a95f998c24487,novel
27,1740,1530,2,778c93a8b040cf3f,reproduction
27,1741,,0,9b69f6ae2addbff8,novel
28,1742,,0,778c93a8b040cf3f,novel
28,1743,,0,778c93a8b040cf3f,novel
28,1744,,0,67ac3b590ccfa0eb,novel
28,1745,,0,778c93a8b040cf3f,novel
28,1746,,0,c8ebdfc8786d6db9,novel
28,1747,,0,976a95f998c24487,novel
28,1748,1727,2,778c93a8b040cf3f,reproduction
28,1749,,0,82b3dcb707aae47f,novel
28,1750,,0,bd168c335bfcbe3b,novel
29,1751,,0,a446bf404b441bec,novel
29,1752,,0,dba81d8f4b5f0db8,novel
29,1753,,0,3834e10236283bce,novel
30,1754,,0,67ac3b590ccfa0eb,novel
30,1755,,0,778c93a8b040cf3f,novel
30,1756,,0,8486daad939079ea,novel
30,1757,,0,431ee366319f3856,novel
31,1758,,0,c8ebdfc8786d6db9,novel
31,1759,1696,1,70fa1a229ab77a02,reproduction
31,1760,,0,da929c66eb3e88c1,novel
31,1761,,0,274cec622ccf2b26,novel
32,1762,,0,2cd7d7a7efe13cc5,novel
