tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
1,97,73,730,58.20,170.20,14.59,487,1.00,1,5,3,0,33,21,50,0,1,4,4,0,5,50,3,0,21,33,1145.30
2,208,67,625,38.16,217.90,28.95,495,1.41,2,39,12,0,89,9,84,0,2,4,3,1,44,134,15,0,30,122,2292.50
3,363,60,477,36.90,1022.35,29.06,496,1.70,3,36,36,0,201,10,155,0,3,4,3,1,80,289,51,0,40,323,5458.00
4,538,46,316,44.28,1067.05,34.83,500,2.02,4,60,61,0,361,16,176,0,4,4,2,2,140,465,112,0,56,684,10429.40
5,658,31,211,49.54,1074.75,33.62,497,2.47,5,45,106,0,537,16,181,0,4,4,1,3,185,646,218,0,72,1221,8772.32
6,738,19,143,65.42,1225.40,38.80,496,3.01,6,44,118,0,657,13,154,0,5,4,1,3,229,800,336,0,85,1878,15683.41
7,776,6,118,88.17,1308.60,45.23,500,3.68,7,32,113,0,738,14,119,0,5,4,1,3,261,919,449,0,99,2616,20136.72
8,798,3,99,111.10,1903.70,42.94,500,4.41,8,29,98,0,776,3,91,0,5,4,0,4,290,1010,547,0,102,3392,20238.11
9,799,0,101,144.44,2891.60,40.91,500,5.22,9,16,92,0,798,3,77,0,5,4,0,4,306,1087,639,0,105,4190,26754.15
10,816,0,84,172.88,2901.20,35.51,502,5.94,10,28,79,0,799,1,68,0,5,4,1,3,334,1155,718,0,106,4989,25660.40
11,835,0,65,200.72,2958.30,37.29,502,6.65,11,15,61,0,816,0,65,0,5,4,0,4,349,1220,779,0,106,5805,26529.23
12,848,0,52,233.76,3273.73,37.75,502,7.44,12,12,52,0,835,1,53,0,5,4,1,3,361,1273,831,0,107,6640,30627.18
13,850,0,50,264.00,4272.63,34.38,502,8.29,13,10,50,0,848,1,42,0,5,4,1,3,371,1315,881,0,108,7488,26171.50
14,869,0,31,303.36,4905.20,33.86,502,9.02,14,10,31,0,850,0,40,0,5,4,0,4,381,1355,912,0,108,8338,39219.23
15,867,0,33,345.01,5894.10,32.49,502,9.95,15,5,33,0,869,0,26,0,5,4,0,4,386,1381,945,0,108,9207,35508.97
16,869,0,31,387.92,5903.70,31.62,502,10.85,16,8,31,0,867,0,25,0,5,4,0,4,394,1406,976,0,108,10074,37977.56
17,874,0,26,424.62,6890.60,31.39,502,11.71,17,7,26,0,869,0,24,0,5,4,0,4,401,1430,1002,0,108,10943,34012.66
18,876,0,24,469.84,7877.50,31.42,502,12.61,18,3,24,0,874,0,23,0,5,4,0,4,404,1453,1026,0,108,11817,40460.42
19,883,0,17,503.52,7886.10,33.28,502,13.45,19,3,17,0,876,0,21,0,5,4,0,4,407,1474,1043,0,108,12693,33028.27
20,877,0,23,543.00,7994.80,30.77,502,14.45,20,2,23,0,883,0,15,0,5,4,0,4,409,1489,1066,0,108,13576,31606.50
21,890,0,10,578.38,8888.60,30.77,502,15.21,21,2,10,0,877,0,21,0,5,4,0,4,411,1510,1076,0,108,14453,38547.25
22,878,0,22,629.71,9876.50,30.43,502,16.29,22,0,22,0,890,0,10,0,5,4,0,4,411,1520,1098,0,108,15343,38126.83
23,885,0,15,673.75,9892.10,29.17,502,17.10,23,4,15,0,878,0,18,0,5,4,0,4,415,1538,1113,0,108,16221,43385.24
24,887,0,13,708.87,9974.60,29.25,502,18.02,24,3,13,0,885,0,12,0,5,4,0,4,418,1550,1126,0,108,17106,32500.20
25,889,0,11,759.64,10902.20,30.57,502,18.94,25,2,11,0,887,0,11,0,5,4,0,4,420,1561,1137,0,108,17993,46550.95
26,887,0,13,802.03,11699.80,30.32,502,19.93,26,0,13,0,889,0,11,0,5,4,0,4,420,1572,1150,0,108,18882,36079.80
27,888,0,12,852.80,12496.40,30.41,502,20.84,27,1,12,0,887,1,12,0,5,4,1,3,421,1584,1162,0,109,19769,45883.65
28,891,0,9,896.65,12634.70,29.71,502,21.71,28,0,9,0,888,0,12,0,5,4,0,4,421,1596,1171,0,109,20657,41625.21
29,889,0,11,951.48,13555.30,29.18,502,22.69,29,3,11,0,891,0,6,0,5,4,0,4,424,1602,1182,0,109,21548,46957.97
30,889,0,11,999.93,13692.60,29.67,502,23.58,30,3,11,0,889,0,8,0,5,4,0,4,427,1610,1193,0,109,22437,43068.21
31,893,0,7,1043.53,13829.90,29.88,502,24.41,31,2,7,0,889,0,9,0,5,4,0,4,429,1619,1200,0,109,23326,42937.00
32,892,0,8,1096.06,13966.20,29.51,502,25.39,32,2,8,0,893,0,5,0,5,4,0,4,431,1624,1208,0,109,24219,45811.25
33,895,0,5,1152.14,14105.50,29.27,502,26.28,33,3,5,0,892,0,5,0,5,4,0,4,434,1629,1213,0,109,25111,53480.65
34,894,0,6,1206.72,14240.80,29.14,502,27.28,34,1,6,0,895,0,4,0,5,4,0,4,435,1633,1219,0,109,26006,47643.50
35,897,0,3,1247.85,15166.40,29.31,502,28.15,35,0,3,0,894,0,6,0,5,4,0,4,435,1639,1222,0,109,26900,40514.20
36,892,0,8,1305.91,16087.00,29.15,502,29.25,36,1,8,0,897,0,2,0,5,4,0,4,436,1641,1230,0,109,27797,45544.90
37,895,0,5,1351.57,17012.60,28.79,502,30.13,37,1,5,0,892,1,7,0,5,4,1,3,437,1648,1235,0,110,28689,44784.03
38,896,0,4,1406.27,17933.20,29.35,502,31.08,38,1,4,0,895,0,4,0,5,4,0,4,438,1652,1239,0,110,29584,50362.79
39,895,0,5,1457.44,18854.80,29.52,502,32.07,39,0,5,0,896,0,4,0,5,4,0,4,438,1656,1244,0,110,30480,44395.80
40,894,0,6,1514.77,18992.10,29.33,502,33.03,40,1,6,0,895,0,4,0,5,4,0,4,439,1660,1250,0,110,31375,49794.20
41,897,0,3,1559.21,19779.70,29.02,502,33.90,41,1,3,0,894,0,5,0,5,4,0,4,440,1665,1253,0,110,32269,44402.10
42,897,0,3,1610.65,20706.30,29.71,502,34.89,42,0,3,0,897,0,3,0,5,4,0,4,440,1668,1256,0,110,33166,46149.80
43,895,0,5,1672.64,21501.90,29.47,502,35.95,43,0,5,0,897,0,3,0,5,4,0,4,440,1671,1261,0,110,34063,52254.40
44,893,0,7,1737.95,22288.50,28.73,502,36.98,44,2,7,0,895,0,3,0,5,4,0,4,442,1674,1268,0,110,34958,54979.80
45,896,0,4,1787.31,22426.80,29.30,502,37.80,45,1,4,0,893,0,6,0,5,4,0,4,443,1680,1272,0,110,35851,49439.80
46,897,0,3,1832.68,22562.10,28.81,502,38.75,46,1,3,0,896,0,3,0,5,4,0,4,444,1683,1275,0,110,36747,42485.20
47,899,0,1,1885.07,23483.70,28.75,502,39.66,47,1,1,0,897,0,2,0,5,4,0,4,445,1685,1276,0,110,37644,50762.70
48,897,0,3,1941.12,23621.00,29.03,502,40.74,48,0,3,0,899,0,1,0,5,4,0,4,445,1686,1279,0,110,38543,46501.90
49,897,0,3,1994.85,23758.30,29.02,502,41.73,49,1,3,0,897,0,2,0,5,4,0,4,446,1688,1282,0,110,39440,48201.10
50,899,0,1,2046.21,24545.90,29.08,502,42.64,50,1,1,0,897,0,2,0,5,4,0,4,447,1690,1283,0,110,40337,50163.50
51,899,0,1,2107.24,25473.50,29.42,502,43.64,51,0,1,0,899,0,1,0,5,4,0,4,447,1691,1284,0,110,41236,54866.30
52,898,0,2,2163.13,25608.80,29.45,502,44.67,52,0,2,0,899,0,1,0,5,4,0,4,447,1692,1286,0,110,42135,48077.00
53,899,0,1,2216.26,25746.10,29.42,502,45.62,53,0,1,0,898,0,2,0,5,4,0,4,447,1694,1287,0,110,43033,49926.60
54,898,0,2,2277.74,25883.40,29.45,502,46.66,54,0,2,0,899,0,1,0,5,4,0,4,447,1695,1289,0,110,43932,52996.80
55,900,0,0,2322.75,26019.70,29.39,502,47.56,55,0,0,0,898,0,2,0,5,4,0,4,447,1697,1289,0,110,44830,45062.60
56,899,0,1,2386.48,26159.00,29.42,502,48.61,56,0,1,0,900,0,0,0,5,4,0,4,447,1697,1290,0,110,45730,54968.80
