LambLife starting: 30x30 grid, seed=1, ticks=200
tick=1 pop=97 res=73 empty=730 births=5 deaths_e=3 deaths_a=0 interactions=33 consumed=21 novel=50 inj=4/4 blocked=0 dE=1145.3 energy=58.2/170.2 size=14.6/487 age=1.0/1 gen=1
tick=2 pop=208 res=67 empty=625 births=39 deaths_e=12 deaths_a=0 interactions=89 consumed=9 novel=84 inj=3/4 blocked=1 dE=2292.5 energy=38.2/217.9 size=29.0/495 age=1.4/2 gen=2
tick=3 pop=363 res=60 empty=477 births=36 deaths_e=36 deaths_a=0 interactions=201 consumed=10 novel=155 inj=3/4 blocked=1 dE=5458.0 energy=36.9/1022.4 size=29.1/496 age=1.7/3 gen=3
tick=4 pop=538 res=46 empty=316 births=60 deaths_e=61 deaths_a=0 interactions=361 consumed=16 novel=176 inj=2/4 blocked=2 dE=10429.4 energy=44.3/1067.1 size=34.8/500 age=2.0/4 gen=4
tick=5 pop=658 res=31 empty=211 births=45 deaths_e=106 deaths_a=0 interactions=537 consumed=16 novel=181 inj=1/4 blocked=3 dE=8772.3 energy=49.5/1074.8 size=33.6/497 age=2.5/5 gen=4
tick=6 pop=738 res=19 empty=143 births=44 deaths_e=118 deaths_a=0 interactions=657 consumed=13 novel=154 inj=1/4 blocked=3 dE=15683.4 energy=65.4/1225.4 size=38.8/496 age=3.0/6 gen=5
tick=7 pop=776 res=6 empty=118 births=32 deaths_e=113 deaths_a=0 interactions=738 consumed=14 novel=119 inj=1/4 blocked=3 dE=20136.7 energy=88.2/1308.6 size=45.2/500 age=3.7/7 gen=5
tick=8 pop=798 res=3 empty=99 births=29 deaths_e=98 deaths_a=0 interactions=776 consumed=3 novel=91 inj=0/4 blocked=4 dE=20238.1 energy=111.1/1903.7 size=42.9/500 age=4.4/8 gen=5
tick=9 pop=799 res=0 empty=101 births=16 deaths_e=92 deaths_a=0 interactions=798 consumed=3 novel=77 inj=0/4 blocked=4 dE=26754.1 energy=144.4/2891.6 size=40.9/500 age=5.2/9 gen=5
tick=10 pop=816 res=0 empty=84 births=28 deaths_e=79 deaths_a=0 interactions=799 consumed=1 novel=68 inj=1/4 blocked=3 dE=25660.4 energy=172.9/2901.2 size=35.5/502 age=5.9/10 gen=5
tick=11 pop=835 res=0 empty=65 births=15 deaths_e=61 deaths_a=0 interactions=816 consumed=0 novel=65 inj=0/4 blocked=4 dE=26529.2 energy=200.7/2958.3 size=37.3/502 age=6.7/11 gen=5
tick=12 pop=848 res=0 empty=52 births=12 deaths_e=52 deaths_a=0 interactions=835 consumed=1 novel=53 inj=1/4 blocked=3 dE=30627.2 energy=233.8/3273.7 size=37.7/502 age=7.4/12 gen=5
tick=13 pop=850 res=0 empty=50 births=10 deaths_e=50 deaths_a=0 interactions=848 consumed=1 novel=42 inj=1/4 blocked=3 dE=26171.5 energy=264.0/4272.6 size=34.4/502 age=8.3/13 gen=5
tick=14 pop=869 res=0 empty=31 births=10 deaths_e=31 deaths_a=0 interactions=850 consumed=0 novel=40 inj=0/4 blocked=4 dE=39219.2 energy=303.4/4905.2 size=33.9/502 age=9.0/14 gen=5
tick=15 pop=867 res=0 empty=33 births=5 deaths_e=33 deaths_a=0 interactions=869 consumed=0 novel=26 inj=0/4 blocked=4 dE=35509.0 energy=345.0/5894.1 size=32.5/502 age=9.9/15 gen=5
tick=16 pop=869 res=0 empty=31 births=8 deaths_e=31 deaths_a=0 interactions=867 consumed=0 novel=25 inj=0/4 blocked=4 dE=37977.6 energy=387.9/5903.7 size=31.6/502 age=10.9/16 gen=5
tick=17 pop=874 res=0 empty=26 births=7 deaths_e=26 deaths_a=0 interactions=869 consumed=0 novel=24 inj=0/4 blocked=4 dE=34012.7 energy=424.6/6890.6 size=31.4/502 age=11.7/17 gen=5
tick=18 pop=876 res=0 empty=24 births=3 deaths_e=24 deaths_a=0 interactions=874 consumed=0 novel=23 inj=0/4 blocked=4 dE=40460.4 energy=469.8/7877.5 size=31.4/502 age=12.6/18 gen=5
tick=19 pop=883 res=0 empty=17 births=3 deaths_e=17 deaths_a=0 interactions=876 consumed=0 novel=21 inj=0/4 blocked=4 dE=33028.3 energy=503.5/7886.1 size=33.3/502 age=13.5/19 gen=5
tick=20 pop=877 res=0 empty=23 births=2 deaths_e=23 deaths_a=0 interactions=883 consumed=0 novel=15 inj=0/4 blocked=4 dE=31606.5 energy=543.0/7994.8 size=30.8/502 age=14.4/20 gen=5
tick=21 pop=890 res=0 empty=10 births=2 deaths_e=10 deaths_a=0 interactions=877 consumed=0 novel=21 inj=0/4 blocked=4 dE=38547.3 energy=578.4/8888.6 size=30.8/502 age=15.2/21 gen=5
tick=22 pop=878 res=0 empty=22 births=0 deaths_e=22 deaths_a=0 interactions=890 consumed=0 novel=10 inj=0/4 blocked=4 dE=38126.8 energy=629.7/9876.5 size=30.4/502 age=16.3/22 gen=5
tick=23 pop=885 res=0 empty=15 births=4 deaths_e=15 deaths_a=0 interactions=878 consumed=0 novel=18 inj=0/4 blocked=4 dE=43385.2 energy=673.8/9892.1 size=29.2/502 age=17.1/23 gen=5
tick=24 pop=887 res=0 empty=13 births=3 deaths_e=13 deaths_a=0 interactions=885 consumed=0 novel=12 inj=0/4 blocked=4 dE=32500.2 energy=708.9/9974.6 size=29.2/502 age=18.0/24 gen=5
tick=25 pop=889 res=0 empty=11 births=2 deaths_e=11 deaths_a=0 interactions=887 consumed=0 novel=11 inj=0/4 blocked=4 dE=46551.0 energy=759.6/10902.2 size=30.6/502 age=18.9/25 gen=5
tick=26 pop=887 res=0 empty=13 births=0 deaths_e=13 deaths_a=0 interactions=889 consumed=0 novel=11 inj=0/4 blocked=4 dE=36079.8 energy=802.0/11699.8 size=30.3/502 age=19.9/26 gen=5
tick=27 pop=888 res=0 empty=12 births=1 deaths_e=12 deaths_a=0 interactions=887 consumed=1 novel=12 inj=1/4 blocked=3 dE=45883.7 energy=852.8/12496.4 size=30.4/502 age=20.8/27 gen=5
tick=28 pop=891 res=0 empty=9 births=0 deaths_e=9 deaths_a=0 interactions=888 consumed=0 novel=12 inj=0/4 blocked=4 dE=41625.2 energy=896.6/12634.7 size=29.7/502 age=21.7/28 gen=5
tick=29 pop=889 res=0 empty=11 births=3 deaths_e=11 deaths_a=0 interactions=891 consumed=0 novel=6 inj=0/4 blocked=4 dE=46958.0 energy=951.5/13555.3 size=29.2/502 age=22.7/29 gen=5
tick=30 pop=889 res=0 empty=11 births=3 deaths_e=11 deaths_a=0 interactions=889 consumed=0 novel=8 inj=0/4 blocked=4 dE=43068.2 energy=999.9/13692.6 size=29.7/502 age=23.6/30 gen=5
tick=31 pop=893 res=0 empty=7 births=2 deaths_e=7 deaths_a=0 interactions=889 consumed=0 novel=9 inj=0/4 blocked=4 dE=42937.0 energy=1043.5/13829.9 size=29.9/502 age=24.4/31 gen=5
tick=32 pop=892 res=0 empty=8 births=2 deaths_e=8 deaths_a=0 interactions=893 consumed=0 novel=5 inj=0/4 blocked=4 dE=45811.2 energy=1096.1/13966.2 size=29.5/502 age=25.4/32 gen=5
tick=33 pop=895 res=0 empty=5 births=3 deaths_e=5 deaths_a=0 interactions=892 consumed=0 novel=5 inj=0/4 blocked=4 dE=53480.7 energy=1152.1/14105.5 size=29.3/502 age=26.3/33 gen=5
tick=34 pop=894 res=0 empty=6 births=1 deaths_e=6 deaths_a=0 interactions=895 consumed=0 novel=4 inj=0/4 blocked=4 dE=47643.5 energy=1206.7/14240.8 size=29.1/502 age=27.3/34 gen=5
tick=35 pop=897 res=0 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=894 consumed=0 novel=6 inj=0/4 blocked=4 dE=40514.2 energy=1247.9/15166.4 size=29.3/502 age=28.2/35 gen=5
tick=36 pop=892 res=0 empty=8 births=1 deaths_e=8 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=45544.9 energy=1305.9/16087.0 size=29.2/502 age=29.3/36 gen=5
tick=37 pop=895 res=0 empty=5 births=1 deaths_e=5 deaths_a=0 interactions=892 consumed=1 novel=7 inj=1/4 blocked=3 dE=44784.0 energy=1351.6/17012.6 size=28.8/502 age=30.1/37 gen=5
tick=38 pop=896 res=0 empty=4 births=1 deaths_e=4 deaths_a=0 interactions=895 consumed=0 novel=4 inj=0/4 blocked=4 dE=50362.8 energy=1406.3/17933.2 size=29.3/502 age=31.1/38 gen=5
tick=39 pop=895 res=0 empty=5 births=0 deaths_e=5 deaths_a=0 interactions=896 consumed=0 novel=4 inj=0/4 blocked=4 dE=44395.8 energy=1457.4/18854.8 size=29.5/502 age=32.1/39 gen=5
tick=40 pop=894 res=0 empty=6 births=1 deaths_e=6 deaths_a=0 interactions=895 consumed=0 novel=4 inj=0/4 blocked=4 dE=49794.2 energy=1514.8/18992.1 size=29.3/502 age=33.0/40 gen=5
tick=41 pop=897 res=0 empty=3 births=1 deaths_e=3 deaths_a=0 interactions=894 consumed=0 novel=5 inj=0/4 blocked=4 dE=44402.1 energy=1559.2/19779.7 size=29.0/502 age=33.9/41 gen=5
tick=42 pop=897 res=0 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=46149.8 energy=1610.7/20706.3 size=29.7/502 age=34.9/42 gen=5
tick=43 pop=895 res=0 empty=5 births=0 deaths_e=5 deaths_a=0 interactions=897 consumed=0 novel=3 inj=0/4 blocked=4 dE=52254.4 energy=1672.6/21501.9 size=29.5/502 age=35.9/43 gen=5
tick=44 pop=893 res=0 empty=7 births=2 deaths_e=7 deaths_a=0 interactions=895 consumed=0 novel=3 inj=0/4 blocked=4 dE=54979.8 energy=1738.0/22288.5 size=28.7/502 age=37.0/44 gen=5
tick=45 pop=896 res=0 empty=4 births=1 deaths_e=4 deaths_a=0 interactions=893 consumed=0 novel=6 inj=0/4 blocked=4 dE=49439.8 energy=1787.3/22426.8 size=29.3/502 age=37.8/45 gen=5
tick=46 pop=897 res=0 empty=3 births=1 deaths_e=3 deaths_a=0 interactions=896 consumed=0 novel=3 inj=0/4 blocked=4 dE=42485.2 energy=1832.7/22562.1 size=28.8/502 age=38.8/46 gen=5
tick=47 pop=899 res=0 empty=1 births=1 deaths_e=1 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=50762.7 energy=1885.1/23483.7 size=28.7/502 age=39.7/47 gen=5
tick=48 pop=897 res=0 empty=3 births=0 deaths_e=3 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=46501.9 energy=1941.1/23621.0 size=29.0/502 age=40.7/48 gen=5
tick=49 pop=897 res=0 empty=3 births=1 deaths_e=3 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=48201.1 energy=1994.9/23758.3 size=29.0/502 age=41.7/49 gen=5
tick=50 pop=899 res=0 empty=1 births=1 deaths_e=1 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=50163.5 energy=2046.2/24545.9 size=29.1/502 age=42.6/50 gen=5
tick=51 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=54866.3 energy=2107.2/25473.5 size=29.4/502 age=43.6/51 gen=5
tick=52 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=48077.0 energy=2163.1/25608.8 size=29.4/502 age=44.7/52 gen=5
tick=53 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=49926.6 energy=2216.3/25746.1 size=29.4/502 age=45.6/53 gen=5
tick=54 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=52996.8 energy=2277.7/25883.4 size=29.4/502 age=46.7/54 gen=5
tick=55 pop=900 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=898 consumed=0 novel=2 inj=0/4 blocked=4 dE=45062.6 energy=2322.8/26019.7 size=29.4/502 age=47.6/55 gen=5
tick=56 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=54968.8 energy=2386.5/26159.0 size=29.4/502 age=48.6/56 gen=5
tick=57 pop=900 res=0 empty=0 births=1 deaths_e=0 deaths_a=0 interactions=899 consumed=0 novel=0 inj=0/4 blocked=4 dE=58497.1 energy=2448.8/26949.6 size=29.4/502 age=49.6/57 gen=5
tick=58 pop=899 res=0 empty=1 births=0 deaths_e=1 deaths_a=0 interactions=900 consumed=0 novel=0 inj=0/4 blocked=4 dE=54570.1 energy=2512.2/27741.2 size=29.4/502 age=50.6/58 gen=5
tick=59 pop=898 res=0 empty=2 births=0 deaths_e=2 deaths_a=0 interactions=899 consumed=0 novel=1 inj=0/4 blocked=4 dE=53421.2 energy=2574.5/28537.8 size=30.0/502 age=51.6/59 gen=5
