tick,child_lineage,parent_lineage,generation,expr_hash,birth_kind
2,725,,0,40c0c668478ecf90,novel
2,726,,0,da929c66eb3e88c1,novel
2,727,,0,778c93a8b040cf3f,novel
2,728,,0,d00900ec926a0a46,novel
2,729,,0,cc9dbe0e9cd3d73c,novel
2,730,,0,778c93a8b040cf3f,novel
2,731,346,2,eca2b55beca169be,reproduction
2,732,,0,40c0c668478ecf90,novel
2,733,370,1,bcd21b07e6f7e5b9,reproduction
2,734,,0,9218ba6d95f2ac84,novel
2,735,454,1,c8ebdfc8786d6db9,reproduction
2,736,,0,778c93a8b040cf3f,novel
2,737,48,1,5ba977d9f7168e4a,reproduction
2,738,,0,21b44491bbf18506,novel
2,739,,0,647a2f87f3196110,novel
2,740,,0,5d5d35dd800bfe67,novel
2,741,,0,c92078a86d4b9aaa,novel
2,742,38,1,778c93a8b040cf3f,reproduction
2,743,,0,2703bcdbafb10262,novel
2,744,,0,40c0c668478ecf90,novel
2,745,434,1,40c0c668478ecf90,reproduction
2,746,,0,e07d85318dac16f0,novel
2,747,325,1,b9c98944734534e9,reproduction
2,748,,0,3f01ca7f5ae2e3cf,novel
2,749,,0,40c0c668478ecf90,novel
2,750,19,1,c3cad67cd0489bef,reproduction
2,751,,0,40c0c668478ecf90,novel
2,752,474,1,2c0252c55f91c01e,reproduction
2,753,,0,778c93a8b040cf3f,novel
2,754,,0,c01c25bcc940e0f0,novel
2,755,,0,40c0c668478ecf90,novel
2,756,374,1,82b3dcb707aae47f,reproduction
2,757,,0,73b8f76a47147e28,novel
2,758,,0,778c93a8b040cf3f,novel
2,759,,0,778c93a8b040cf3f,novel
2,760,,0,4d3be084d3467d01,novel
2,761,327,1,778c93a8b040cf3f,reproduction
2,762,,0,778c93a8b040cf3f,novel
2,763,,0,f3ca2f3756d10c6e,novel
2,764,,0,40c0c668478ecf90,novel
2,765,371,1,778c93a8b040cf3f,reproduction
2,766,,0,778c93a8b040cf3f,novel
2,767,,0,934285e56979d6d1,novel
2,768,,0,40c0c668478ecf90,novel
2,769,,0,035cc492200bfdec,novel
2,770,24,1,40c0c668478ecf90,reproduction
2,771,,0,dd7a10cedb235595,novel
2,772,,0,54d779360d56cd18,novel
2,773,,0,f3e2fe88603005e5,novel
2,774,,0,e58fd4cc6871af9f,novel
2,775,,0,f551b597dcbb2bda,novel
2,776,43,1,778c93a8b040cf3f,reproduction
2,777,,0,1f0491fee1571852,novel
2,778,,0,165602ca4675b615,novel
2,779,,0,0fbb036563c24990,novel
2,780,182,1,b8633c46a00c827f,reproduction
2,781,266,1,02e55ed5a2f779ef,reproduction
