LambLife starting: 50x50 grid, seed=2, ticks=10000
tick=2500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=81595.9/1313829.0 size=11.4/499 age=2496.9/2500 gen=4
tick=2600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=84877.4/1356037.0 size=11.4/499 age=2596.9/2600 gen=4
tick=2700 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=88155.6/1404024.8 size=11.4/499 age=2696.9/2700 gen=4
tick=2800 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=91416.5/1451087.9 size=11.4/499 age=2796.9/2800 gen=4
tick=2900 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=94659.7/1493269.5 size=11.4/499 age=2896.9/2900 gen=4
=== Diversity @ tick 3000: 534 unique species ===
  #1: hash=778c93a8b040cf3f pop=674 avg_energy=50425.1 center=(24,24)
  #2: hash=40c0c668478ecf90 pop=347 avg_energy=105952.5 center=(25,25)
  #3: hash=82b3dcb707aae47f pop=146 avg_energy=41510.8 center=(22,24)
  #4: hash=bcd21b07e6f7e5b9 pop=91 avg_energy=102372.6 center=(24,24)
  #5: hash=da929c66eb3e88c1 pop=84 avg_energy=116988.0 center=(27,21)
  #6: hash=4d3be084d3467d01 pop=62 avg_energy=49530.2 center=(23,26)
  #7: hash=d00900ec926a0a46 pop=50 avg_energy=126922.9 center=(20,24)
  #8: hash=2c0252c55f91c01e pop=39 avg_energy=59330.7 center=(24,17)
  #9: hash=0a481eb844d7ae83 pop=37 avg_energy=68101.2 center=(27,25)
  #10: hash=c8ebdfc8786d6db9 pop=27 avg_energy=112054.3 center=(26,25)
tick=3000 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=97920.9/1547013.5 size=11.4/499 age=2996.9/3000 gen=4
tick=3100 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=101196.5/1607684.9 size=11.4/499 age=3096.9/3100 gen=4
tick=3200 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=104480.9/1666047.5 size=11.4/499 age=3196.9/3200 gen=4
tick=3300 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=107742.9/1731101.3 size=11.4/499 age=3296.9/3300 gen=4
tick=3400 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=111040.8/1779918.1 size=11.4/499 age=3396.9/3400 gen=4
tick=3500 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=114285.4/1827700.7 size=11.4/499 age=3496.9/3500 gen=4
tick=3600 pop=2500 res=0 empty=0 births=0 deaths_e=0 deaths_a=0 interactions=2500 consumed=0 novel=0 energy=117548.2/1888424.3 size=11.4/499 age=3596.9/3600 gen=4
