LambLife starting: 30x30 grid, seed=1, ticks=200
tick=1 pop=201 res=69 empty=630 births=24 deaths_e=2 deaths_a=0 interactions=77 consumed=25 novel=89 inj=4/4 blocked=0 dE=2997.7 energy=59.7/186.8 size=14.9/496 age=1.0/1 gen=1
tick=2 pop=428 res=54 empty=418 births=63 deaths_e=17 deaths_a=0 interactions=196 consumed=19 novel=181 inj=4/4 blocked=0 dE=8792.9 energy=48.6/1113.5 size=30.1/500 age=1.4/2 gen=2
tick=3 pop=638 res=37 empty=225 births=69 deaths_e=85 deaths_a=0 interactions=427 consumed=17 novel=226 inj=0/4 blocked=4 dE=12874.5 energy=52.8/2110.4 size=44.9/500 age=1.8/3 gen=3
tick=4 pop=729 res=21 empty=150 births=41 deaths_e=116 deaths_a=0 interactions=638 consumed=16 novel=166 inj=0/4 blocked=4 dE=23266.0 energy=78.1/2118.3 size=41.5/500 age=2.4/4 gen=3
tick=5 pop=770 res=9 empty=121 births=30 deaths_e=114 deaths_a=0 interactions=729 consumed=12 novel=125 inj=0/4 blocked=4 dE=19714.1 energy=99.5/2141.6 size=38.3/499 age=3.1/5 gen=4
tick=6 pop=806 res=5 empty=89 births=26 deaths_e=89 deaths_a=0 interactions=770 consumed=5 novel=99 inj=1/4 blocked=3 dE=28305.3 energy=130.2/2267.4 size=38.4/499 age=3.8/6 gen=4
tick=7 pop=801 res=5 empty=94 births=28 deaths_e=94 deaths_a=0 interactions=806 consumed=0 novel=61 inj=0/4 blocked=4 dE=20322.0 energy=156.4/2180.2 size=37.1/500 age=4.7/7 gen=4
tick=8 pop=826 res=3 empty=71 births=26 deaths_e=67 deaths_a=0 interactions=801 consumed=2 novel=66 inj=0/4 blocked=4 dE=18644.6 energy=174.2/2443.1 size=34.1/499 age=5.3/8 gen=4
tick=9 pop=840 res=3 empty=57 births=14 deaths_e=57 deaths_a=0 interactions=826 consumed=2 novel=57 inj=2/4 blocked=2 dE=25754.7 energy=202.0/3040.5 size=31.6/500 age=6.1/9 gen=5
tick=10 pop=854 res=0 empty=46 births=26 deaths_e=45 deaths_a=0 interactions=840 consumed=3 novel=33 inj=0/4 blocked=4 dE=29401.6 energy=233.1/4036.3 size=27.2/499 age=6.9/10 gen=5
tick=11 pop=867 res=0 empty=33 births=13 deaths_e=33 deaths_a=0 interactions=854 consumed=0 novel=33 inj=0/4 blocked=4 dE=27525.7 energy=261.4/4044.8 size=26.5/499 age=7.7/11 gen=5
tick=12 pop=875 res=0 empty=25 births=10 deaths_e=25 deaths_a=0 interactions=867 consumed=1 novel=23 inj=1/4 blocked=3 dE=29943.9 energy=293.2/4341.5 size=24.2/499 age=8.6/12 gen=5
tick=13 pop=890 res=0 empty=10 births=10 deaths_e=10 deaths_a=0 interactions=875 consumed=0 novel=15 inj=0/4 blocked=4 dE=30153.9 energy=322.1/5055.1 size=22.9/499 age=9.4/13 gen=5
tick=14 pop=884 res=0 empty=16 births=3 deaths_e=16 deaths_a=0 interactions=890 consumed=0 novel=7 inj=0/4 blocked=4 dE=32260.0 energy=360.8/5062.6 size=22.7/499 age=10.4/14 gen=5
tick=15 pop=892 res=0 empty=8 births=3 deaths_e=8 deaths_a=0 interactions=884 consumed=0 novel=13 inj=0/4 blocked=4 dE=32989.2 energy=394.6/6059.4 size=22.8/499 age=11.3/15 gen=5
tick=16 pop=888 res=0 empty=12 births=1 deaths_e=12 deaths_a=0 interactions=892 consumed=0 novel=7 inj=0/4 blocked=4 dE=33580.9 energy=434.2/6067.9 size=20.7/499 age=12.3/16 gen=5
tick=17 pop=897 res=0 empty=3 births=4 deaths_e=3 deaths_a=0 interactions=888 consumed=0 novel=8 inj=0/4 blocked=4 dE=31886.3 energy=465.3/6084.4 size=21.1/499 age=13.2/17 gen=5
tick=18 pop=889 res=0 empty=11 births=1 deaths_e=11 deaths_a=0 interactions=897 consumed=0 novel=2 inj=0/4 blocked=4 dE=30357.3 energy=503.7/6116.0 size=21.6/499 age=14.2/18 gen=5
tick=19 pop=893 res=1 empty=6 births=2 deaths_e=6 deaths_a=0 interactions=889 consumed=0 novel=8 inj=1/4 blocked=3 dE=30175.2 energy=535.2/6699.2 size=22.7/499 age=15.2/19 gen=5
