tick,population,resources,empty,mean_energy,max_energy,mean_size,max_size,mean_age,max_age,births,deaths_energy,deaths_age,interactions,resources_consumed,novel_placements,unique_structures,max_generation,resource_injection_attempts,resources_injected,resource_injection_blocked,total_births,total_novel_placements,total_deaths_energy,total_deaths_age,total_resources_consumed,total_interactions,net_energy_delta
1,201,69,630,59.69,186.80,14.90,496,1.00,1,24,2,0,77,25,89,0,1,4,4,0,24,89,2,0,25,77,2997.70
2,428,54,418,48.58,1113.50,30.14,500,1.43,2,63,17,0,196,19,181,0,2,4,4,0,87,270,19,0,44,273,8792.85
3,638,37,225,52.77,2110.40,44.93,500,1.81,3,69,85,0,427,17,226,0,3,4,0,4,156,496,104,0,61,700,12874.52
4,729,21,150,78.09,2118.30,41.46,500,2.40,4,41,116,0,638,16,166,0,3,4,0,4,197,662,220,0,77,1338,23265.98
5,770,9,121,99.54,2141.60,38.27,499,3.09,5,30,114,0,729,12,125,0,4,4,0,4,227,787,334,0,89,2067,19714.06
6,806,5,89,130.21,2267.40,38.36,499,3.80,6,26,89,0,770,5,99,0,4,4,1,3,253,886,423,0,94,2837,28305.33
7,801,5,94,156.40,2180.20,37.05,500,4.66,7,28,94,0,806,0,61,0,4,4,0,4,281,947,517,0,94,3643,20322.01
8,826,3,71,174.23,2443.10,34.07,499,5.34,8,26,67,0,801,2,66,0,4,4,0,4,307,1013,584,0,96,4444,18644.63
9,840,3,57,201.99,3040.50,31.60,500,6.13,9,14,57,0,826,2,57,0,5,4,2,2,321,1070,641,0,98,5270,25754.72
10,854,0,46,233.11,4036.30,27.17,499,6.93,10,26,45,0,840,3,33,0,5,4,0,4,347,1103,686,0,101,6110,29401.60
11,867,0,33,261.36,4044.80,26.50,499,7.75,11,13,33,0,854,0,33,0,5,4,0,4,360,1136,719,0,101,6964,27525.67
12,875,0,25,293.19,4341.50,24.16,499,8.60,12,10,25,0,867,1,23,0,5,4,1,3,370,1159,744,0,102,7831,29943.86
13,890,0,10,322.13,5055.10,22.87,499,9.44,13,10,10,0,875,0,15,0,5,4,0,4,380,1174,754,0,102,8706,30153.92
14,884,0,16,360.81,5062.60,22.66,499,10.45,14,3,16,0,890,0,7,0,5,4,0,4,383,1181,770,0,102,9596,32259.95
15,892,0,8,394.56,6059.40,22.76,499,11.33,15,3,8,0,884,0,13,0,5,4,0,4,386,1194,778,0,102,10480,32989.21
16,888,0,12,434.15,6067.90,20.67,499,12.31,16,1,12,0,892,0,7,0,5,4,0,4,387,1201,790,0,102,11372,33580.95
17,897,0,3,465.34,6084.40,21.13,499,13.18,17,4,3,0,888,0,8,0,5,4,0,4,391,1209,793,0,102,12260,31886.30
18,889,0,11,503.68,6116.00,21.58,499,14.25,18,1,11,0,897,0,2,0,5,4,0,4,392,1211,804,0,102,13157,30357.30
19,893,1,6,535.21,6699.20,22.74,499,15.16,19,2,6,0,889,0,8,0,5,4,1,3,394,1219,810,0,102,14046,30175.20
20,894,0,6,568.55,7035.90,22.65,499,16.11,20,2,6,0,893,1,5,0,5,4,0,4,396,1224,816,0,103,14939,30342.00
21,893,0,7,617.11,7680.30,21.27,499,17.08,21,5,7,0,894,0,1,0,5,4,0,4,401,1225,823,0,103,15833,42790.95
22,897,0,3,650.97,8017.00,22.04,499,17.97,22,2,3,0,893,0,5,0,5,4,0,4,403,1230,826,0,103,16726,32838.50
23,896,0,4,691.51,8666.40,22.16,499,18.95,23,0,4,0,897,0,3,0,5,4,0,4,403,1233,830,0,103,17623,35671.40
24,900,0,0,728.02,10174.10,22.09,499,19.86,24,3,0,0,896,0,1,0,5,4,0,4,406,1234,830,0,103,18519,35626.30
25,896,0,4,769.39,10819.50,21.69,499,20.88,25,0,4,0,900,0,0,0,5,4,0,4,406,1234,834,0,103,19419,34160.42
